α,L,v_eff_transcription,std_eff_transcription,v_eff_translation,std_eff_translation,fractions_T_protected,std_fractions_T_protected,fractions_T_protected_uncoupled,std_fractions_T_protected_uncoupled,v_eff_est,F_T_est,C₊_est,Cₐ_est,C
0.001,100,13.814136999856112,18.22101295909524,0.10099722848010666,-2.2143498740782173,0.2693414415861727,0.17891692288906874,0.7306585584138273,0.17891692288906874,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.003
0.010000000000000002,100,13.06691603783764,17.039489551684117,0.9782728694689775,7.162322569411229,0.28625739772577263,0.20989121338206562,0.7137426022742274,0.20989121338206562,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.025
0.1,100,15.07536107691298,12.78903487964717,6.755535330669187,6.783492562249545,0.4285850526821755,0.2955821001813602,0.5714149473178245,0.2955821001813602,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.179
1.0,100,18.03449833549638,6.754393014716694,14.958435631633282,2.952053817276087,0.7463151892994001,0.2931885427127247,0.2536848107005999,0.2931885427127247,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.442
10.0,100,17.998682907269007,4.634000045352186,16.36049700219711,2.7668260170896994,0.9553887902137685,0.12103739800034104,0.0446112097862315,0.12103739800034104,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.574
0.001,316,12.870088720211834,5.907408006736264,0.29520844217219816,-6.220837581325153,0.08847947840273551,0.10457805283583908,0.9115205215972645,0.10457805283583908,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.004
0.010000000000000002,316,13.259192506990903,5.835642970736914,2.7163620367518124,7.496029367126642,0.12839015998315462,0.17984214805751905,0.8716098400168454,0.17984214805751905,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.054
0.1,316,14.99709865862194,4.7591823599569905,11.763022930246882,4.423331288353536,0.3795566965336039,0.3307567602736366,0.6204433034663961,0.3307567602736366,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.28
1.0,316,17.442336606319348,3.213268965962225,16.29685410677157,1.808693339828384,0.7231283878222812,0.2871474764382077,0.2768716121777189,0.2871474764382077,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.485
10.0,316,17.610091060959036,2.7129637542438942,16.689570684471953,1.7325172557035033,0.8575495541471339,0.20114236445720568,0.14245044585286612,0.20114236445720568,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.487
0.001,1000,12.897233624796323,3.110251779724596,0.9792264817253779,10.505743945889664,0.04190282746841656,0.09244265108825853,0.9580971725315834,0.09244265108825853,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.013
0.010000000000000002,1000,13.320065627327821,2.9300034023167774,6.540398249064061,7.054111414923951,0.1332496775383758,0.22212286691666056,0.8667503224616242,0.22212286691666056,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.125
0.1,1000,15.801799548614767,2.1218838448802746,15.147729046638931,2.09854668194612,0.5183195486542113,0.28578997135519585,0.48168045134578874,0.28578997135519585,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.401
1.0,1000,17.179341520626956,1.4665870105235577,16.794641801441085,1.1244093283317529,0.7366771675206584,0.20252045666676402,0.26332283247934163,0.20252045666676402,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.46
10.0,1000,17.243031487136093,1.3978793333143233,16.904633899746326,1.103559457032853,0.7819440226294687,0.17729101869162245,0.21805597737053134,0.17729101869162245,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.49
0.001,3162,13.051713552475485,1.7363239995193167,2.8599797918522714,9.03306743981253,0.044351992993146405,0.13289450239176379,0.9556480070068536,0.13289450239176379,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.048
0.010000000000000002,3162,14.243629919385782,1.8561355212059159,11.998940011283029,4.66805692598779,0.2665569838114359,0.2712330681684548,0.7334430161885641,0.2712330681684548,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.298
0.1,3162,16.544777209699564,0.9493538806421711,16.422147034410038,0.9118322127625627,0.6434833983921184,0.17547238680141844,0.35651660160788157,0.17547238680141844,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.466
1.0,3162,17.1081205786931,0.7412831638667345,16.99418391472306,0.6867600955662638,0.7371792645566904,0.11990478618747749,0.26282073544330964,0.11990478618747749,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.464
10.0,3162,17.115099722236895,0.7420610236500789,16.9977670660786,0.6761434873707479,0.7584112073482301,0.11665843875823885,0.24158879265176986,0.11665843875823885,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.476
0.001,10000,13.305261740055817,1.2442279831291403,6.768027931005659,7.533680190916372,0.09132832641152144,0.188797410378337,0.9086716735884786,0.188797410378337,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.103
0.010000000000000002,10000,15.332864550096616,1.3938188674162975,15.06944275586181,2.002410820584685,0.4424966759374429,0.23872762528045188,0.5575033240625571,0.23872762528045188,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.418
0.1,10000,16.877636944499034,0.43704383826264603,16.843356128479368,0.42833277476270837,0.712888068342489,0.07983528365122898,0.287111931657511,0.07983528365122898,17.496629975776262,0.7410249854996909,0.54920145594375,0.54920145594375,0.495
