Ec,p,v_transcriptions,fraction_protected,std_fraction_exposure,v_eff_translations,v_eff_transcriptions,std_eff_translations,std_eff_transcriptions,efficiency,std_efficiency
0.0,5.0,30.0,0.007511283552382064,0.010813356212641205,4.992247747753705,12.827036926466922,0.0529286920460339,0.9143948412323297,0.9984495495507411,0.01058573840920678
0.0,10.0,30.0,0.029594771275987086,0.03400028827267869,9.876510185534238,12.807601847034835,0.17553351415625418,0.9269708435889514,0.9876510185534239,0.017553351415625418
0.0,15.0,30.0,0.4565961244724649,0.13059332546755814,11.246071998349302,11.360637162766505,1.1365175811170154,1.207395691550964,0.7497381332232869,0.07576783874113437
0.0,20.0,30.0,0.8406380753367375,0.05319750203012176,10.256144564091938,10.270877660189349,0.8706291554638197,0.8756472693811395,0.5128072282045969,0.043531457773190986
0.0,25.0,30.0,0.9659742960921907,0.017552555526518514,10.271768167274637,10.27515405504821,0.6971088472783613,0.697961677156397,0.41087072669098545,0.02788435389113445
0.0,30.0,30.0,0.9957053679082227,0.005166404042232007,10.718569379190404,10.719932247181509,0.6534527940882073,0.6536861182473928,0.3572856459730135,0.021781759802940243
0.0,35.0,30.0,0.9987713182666513,0.0023344983111240314,11.260430865129953,11.261377035981578,0.7384493812679604,0.7385669166816742,0.32172659614657007,0.021098553750513154
0.0,40.0,30.0,0.9990332068877861,0.0019482935023652733,11.676901314452563,11.67766440508341,0.7381891704976677,0.7382965575920615,0.2919225328613141,0.018454729262441693
0.0,45.0,30.0,0.9991636692430481,0.0018311024615467338,11.933360211907141,11.93403574678164,0.8148371571674176,0.8149369395412647,0.26518578248682534,0.01810749238149817
0.0,50.0,30.0,0.999178993496879,0.0016819766215541497,12.200837147951178,12.201382435409402,0.8129481468116131,0.8130251972965024,0.24401674295902356,0.01625896293623226
0.0,55.0,30.0,0.9993299358694975,0.001411798764864019,12.402063250027895,12.402567411431995,0.8913204617242467,0.8913977779112674,0.22549205909141629,0.016205826576804486
0.0,60.0,30.0,0.9993046228984186,0.0015088275127197496,12.486179788212818,12.486630462242562,0.8264095070871278,0.8264684566020915,0.20810299647021363,0.013773491784785463
0.5,5.0,30.0,0.006088288493872884,0.008258096044828077,4.998240106425407,12.779694762030667,0.04920177620642052,0.8899036848339543,0.9996480212850815,0.009840355241284104
0.5,10.0,30.0,0.02470520773767948,0.028255389472762415,9.927415106183847,12.831248120122199,0.1349423786798809,0.9113869789258873,0.9927415106183848,0.01349423786798809
0.5,15.0,30.0,0.39770780665358196,0.12566084955529985,12.466704563903283,12.622997463761111,0.8429779453161217,0.9261653630377156,0.8311136375935522,0.056198529687741444
0.5,20.0,30.0,0.8068752479346746,0.05633284798485112,12.560838760946092,12.581090043372484,0.7411008383461555,0.7458314840471107,0.6280419380473046,0.037055041917307775
0.5,25.0,30.0,0.9563736845509979,0.021673732506233594,13.044486627683902,13.04994694843329,0.6732104724670949,0.6740962428852102,0.5217794651073561,0.026928418898683793
0.5,30.0,30.0,0.9946330736725854,0.00625615717023346,13.702117418911223,13.704388135801116,0.7259388965763858,0.726287343538119,0.4567372472970408,0.02419796321921286
0.5,35.0,30.0,0.9983793734746658,0.003072059607527699,14.419242351046577,14.420684074400757,0.7679447952299823,0.7680681884228369,0.41197835288704504,0.02194127986371378
0.5,40.0,30.0,0.9987649464880612,0.0026547353030706563,15.026920073202286,15.028214574899621,0.7639531626590363,0.7640873661986065,0.37567300183005714,0.01909882906647591
0.5,45.0,30.0,0.9990159756515338,0.002212450607692204,15.38999093484016,15.39107196541408,0.8285324975433959,0.8286502306717924,0.3419997985520036,0.01841183327874213
0.5,50.0,30.0,0.9989946210086664,0.002254960470441177,15.720990632615575,15.7219252371436,0.8128228683676042,0.8129750349599751,0.3144198126523115,0.016256457367352085
0.5,55.0,30.0,0.9991067163621328,0.001989745366570967,15.897993216785776,15.89883072877393,0.8507536055596114,0.8508615006384259,0.28905442212337773,0.015468247373811117
0.5,60.0,30.0,0.999251618253869,0.001844460132998559,16.070796632511694,16.0715451418244,0.8853129439049203,0.8853602425836931,0.2678466105418616,0.014755215731748672
1.0,5.0,30.0,0.006156672705597166,0.007469254851400701,4.997957808472604,12.815622976720729,0.04908577705193595,0.9269048257407979,0.9995915616945208,0.00981715541038719
1.0,10.0,30.0,0.02252734559441183,0.024906912614499496,9.94310101101994,12.893057544477413,0.11422970957772804,0.8756999901591929,0.9943101011019939,0.011422970957772805
1.0,15.0,30.0,0.3652402257939532,0.12187939703040615,13.281479175200108,13.447168155625805,0.6153148442965524,0.7080221094500772,0.8854319450133405,0.04102098961977016
1.0,20.0,30.0,0.7773736574599008,0.06569458973198736,14.477115976364619,14.502702208228257,0.6513214234502396,0.6577260177797202,0.7238557988182309,0.03256607117251198
1.0,25.0,30.0,0.9496647912294951,0.02558516902205303,15.501508116270543,15.509178156460527,0.6185177442732206,0.6198019355404867,0.6200603246508217,0.024740709770928824
1.0,30.0,30.0,0.9938234278975717,0.007001115865665583,16.51151926773434,16.514628594370425,0.6336744323733496,0.6340413766036157,0.5503839755911446,0.021122481079111653
1.0,35.0,30.0,0.9979981177302621,0.0038665463013355505,17.41942823261645,17.421547628947504,0.6781090998569539,0.6783535682842547,0.49769794950332713,0.01937454571019868
1.0,40.0,30.0,0.9985862391259398,0.002890578058640092,18.126892531523666,18.128723884903867,0.7347318281768178,0.7348353174924878,0.45317231328809165,0.018368295704420445
1.0,45.0,30.0,0.9986685803125482,0.002853219130465631,18.705473107395356,18.70708048284994,0.7090805384310706,0.7092851869612975,0.41567718016434124,0.015757345298468235
